ID	ID1	ID2	chr1	start1	stop1	direction1	chr2	start2	stop2	direction2	synteny_dir	org2
8	hg38.chr1:120844431-121123813	rheMac3.chr1:128201155-128679482	1	120844431	121123813	+	1	128201155	128679482	+	NA	rheMac3
8	hg38.chr1:145517119-147941130	rheMac3.chr1:126499908-128046485	1	145517119	147941130	+	1	126499908	128046485	+	2+1+	rheMac3
29	hg38.chr1:3068952-3438617	danRer10.chr8:48106715-48559330	1	3068952	3438617	+	8	48106715	48559330	+	NA	danRer10
29	hg38.chr1:6243621-6460175	danRer10.chr8:46650461-47098088	1	6243621	6460175	+	8	46650461	47098088	+	2+1+	danRer10
60	hg38.chr1:29344037-29496951	monDom5.chr4:432638365-433162006	1	29344037	29496951	+	4	432638365	433162006	+	NA	monDom5
60	hg38.chr1:29514780-29737163	monDom5.chr4:431625147-432650810	1	29514780	29737163	+	4	431625147	432650810	+	2+1+	monDom5
61	hg38.chr1:74645862-75970959	monDom5.chr2:859344-1588820	1	74645862	75970959	+	2	859344	1588820	+	NA	monDom5
61	hg38.chr1:76182702-77063208	monDom5.chr2:36286-852085	1	76182702	77063208	+	2	36286	852085	+	2+1+	monDom5
74	hg38.chr1:120132162-120347619	panTro6.chr1:122826473-122939846	1	120132162	120347619	+	1	122826473	122939846	+	NA	panTro6
74	hg38.chr1:145592150-146129638	panTro6.chr1:121883423-122360815	1	145592150	146129638	+	1	121883423	122360815	+	2+1+	panTro6
3	hg38.chr10:46283657-46683940	mm10.chr14:34049879-34296813	10	46283657	46683940	+	14	34049879	34296813	+	NA	mm10
3	hg38.chr10:46870209-47384348	mm10.chr14:33542208-33978829	10	46870209	47384348	+	14	33542208	33978829	+	2+1+	mm10
49	hg38.chr10:2644139-2840738	rn5.chr17:68796734-69012001	10	2644139	2840738	+	17	68796734	69012001	+	NA	rn5
49	hg38.chr10:2845861-3010775	rn5.chr17:68566361-68774612	10	2845861	3010775	+	17	68566361	68774612	+	2+1+	rn5
63	hg38.chr10:127214796-128997678	monDom5.chr1:2896705-4733026	10	127214796	128997678	+	1	2896705	4733026	+	NA	monDom5
63	hg38.chr10:129956744-132253630	monDom5.chr1:163-2841925	10	129956744	132253630	+	1	163	2841925	+	2+1+	monDom5
34	hg38.chr11:77142706-77392564	danRer10.chr18:3109787-3312681	11	77142706	77392564	+	18	3109787	3312681	+	NA	danRer10
34	hg38.chr11:77619624-78017293	danRer10.chr18:2942485-3035534	11	77619624	78017293	+	18	2942485	3035534	+	2+1+	danRer10
50	hg38.chr12:47542144-48009830	rn5.chr7:139264811-139682054	12	47542144	48009830	+	7	139264811	139682054	+	NA	rn5
50	hg38.chr12:48010651-48628978	rn5.chr7:138735060-139251170	12	48010651	48628978	+	7	138735060	139251170	+	2+1+	rn5
51	hg38.chr13:73663855-75609963	rn5.chr15:88066933-89972685	13	73663855	75609963	+	15	88066933	89972685	+	NA	rn5
51	hg38.chr13:75619956-75921912	rn5.chr15:87760914-88062798	13	75619956	75921912	+	15	87760914	88062798	+	2+1+	rn5
52	hg38.chr13:76900416-77133439	rn5.chr15:97046731-97234917	13	76900416	77133439	+	15	97046731	97234917	+	NA	rn5
52	hg38.chr13:77133536-84071746	rn5.chr15:90901122-97005192	13	77133536	84071746	+	15	90901122	97005192	+	2+1+	rn5
64	hg38.chr13:65767160-66620079	monDom5.chr7:146185342-147265666	13	65767160	66620079	+	7	146185342	147265666	+	2-1+	monDom5
64	hg38.chr13:66631192-83070252	monDom5.chr7:122757206-145927704	13	66631192	83070252	+	7	122757206	145927704	+	2+1+	monDom5
18	hg38.chr14:67614737-67889367	bosTau8.chr10:80072226-80293728	14	67614737	67889367	+	10	80072226	80293728	+	NA	bosTau8
18	hg38.chr14:67889367-68149592	bosTau8.chr10:79832439-80066998	14	67889367	68149592	+	10	79832439	80066998	+	2+1+	bosTau8
53	hg38.chr14:79561316-81775124	rn5.chr6:123075278-125145047	14	79561316	81775124	+	6	123075278	125145047	+	NA	rn5
53	hg38.chr14:81775190-82010690	rn5.chr6:122792559-123007549	14	81775190	82010690	+	6	122792559	123007549	+	2+1+	rn5
4	hg38.chr15:75799252-77906195	mm10.chr9:55106403-56894372	15	75799252	77906195	+	9	55106403	56894372	+	2-1+	mm10
4	hg38.chr15:78087714-78710774	mm10.chr9:54528430-55111863	15	78087714	78710774	+	9	54528430	55111863	+	2+1+	mm10
5	hg38.chr15:82536713-84150501	mm10.chr7:81342692-82721698	15	82536713	84150501	+	7	81342692	82721698	+	2-1+	mm10
5	hg38.chr15:84598720-85140156	mm10.chr7:80856746-81335031	15	84598720	85140156	+	7	80856746	81335031	+	2+1+	mm10
19	hg38.chr15:28860921-30075521	bosTau8.chr21:28476847-29293516	15	28860921	30075521	+	21	28476847	29293516	+	NA	bosTau8
19	hg38.chr15:30899430-31464854	bosTau8.chr21:27910615-28265183	15	30899430	31464854	+	21	27910615	28265183	+	2+1+	bosTau8
20	hg38.chr15:75796934-77906195	bosTau8.chr21:31601019-33604725	15	75796934	77906195	+	21	31601019	33604725	+	2-1+	bosTau8
20	hg38.chr15:78121227-78710460	bosTau8.chr21:31024531-31615236	15	78121227	78710460	+	21	31024531	31615236	+	2+1+	bosTau8
21	hg38.chr15:81480549-82287834	bosTau8.chr21:23955027-24544033	15	81480549	82287834	+	21	23955027	24544033	+	NA	bosTau8
21	hg38.chr15:82536244-83015387	bosTau8.chr21:23300928-23729416	15	82536244	83015387	+	21	23300928	23729416	+	2+1+	bosTau8
27	hg38.chr15:82640627-84150496	canFam3.chr3:54492846-55788027	15	82640627	84150496	+	3	54492846	55788027	+	2-1+	canFam3
27	hg38.chr15:84599820-85140008	canFam3.chr3:53863969-54367990	15	84599820	85140008	+	3	53863969	54367990	+	2+1+	canFam3
35	hg38.chr15:61863434-63069963	danRer10.chr7:29361643-29689728	15	61863434	63069963	+	7	29361643	29689728	+	NA	danRer10
35	hg38.chr15:63608574-63983778	danRer10.chr7:28917913-29018752	15	63608574	63983778	+	7	28917913	29018752	+	2+1+	danRer10
54	hg38.chr15:75799316-77906195	rn5.chr8:58258010-60130494	15	75799316	77906195	+	8	58258010	60130494	+	2-1+	rn5
54	hg38.chr15:78087809-78710898	rn5.chr8:57686648-58262902	15	78087809	78710898	+	8	57686648	58262902	+	2+1+	rn5
55	hg38.chr15:82536713-84150500	rn5.chr1:144109644-145601700	15	82536713	84150500	+	1	144109644	145601700	+	2-1+	rn5
55	hg38.chr15:84598761-85139163	rn5.chr1:143627838-144102770	15	84598761	85139163	+	1	143627838	144102770	+	2+1+	rn5
65	hg38.chr15:82754554-84150285	monDom5.chr1:112936366-115009678	15	82754554	84150285	+	1	112936366	115009678	+	NA	monDom5
65	hg38.chr15:84599886-85156140	monDom5.chr1:112114494-112904379	15	84599886	85156140	+	1	112114494	112904379	+	2+1+	monDom5
70	hg38.chr15:28860958-30075521	oviAri3.chr18:26996309-27806364	15	28860958	30075521	+	18	26996309	27806364	+	NA	oviAri3
70	hg38.chr15:30899430-31464203	oviAri3.chr18:26380368-26744596	15	30899430	31464203	+	18	26380368	26744596	+	2+1+	oviAri3
71	hg38.chr15:75796939-77906195	oviAri3.chr18:30126447-32107819	15	75796939	77906195	+	18	30126447	32107819	+	2-1+	oviAri3
71	hg38.chr15:77970358-78710460	oviAri3.chr18:29402447-30135078	15	77970358	78710460	+	18	29402447	30135078	+	2+1+	oviAri3
72	hg38.chr15:82536247-84150500	oviAri3.chr18:21944205-23508854	15	82536247	84150500	+	18	21944205	23508854	+	2-1+	oviAri3
72	hg38.chr15:84598039-85156532	oviAri3.chr18:21373787-21914801	15	84598039	85156532	+	18	21373787	21914801	+	2+1+	oviAri3
75	hg38.chr15:21324053-21608151	panTro6.chr15:7630525-7915837	15	21324053	21608151	+	15	7630525	7915837	+	NA	panTro6
75	hg38.chr15:22597904-23089310	panTro6.chr15:7003729-7471423	15	22597904	23089310	+	15	7003729	7471423	+	2+1+	panTro6
10	hg38.chr16:21558796-21797508	rheMac3.chr20:20897063-21132166	16	21558796	21797508	+	20	20897063	21132166	+	NA	rheMac3
10	hg38.chr16:21937584-22419474	rheMac3.chr20:20413227-20897060	16	21937584	22419474	+	20	20413227	20897060	+	2+1+	rheMac3
28	hg38.chr16:16571940-18436361	canFam3.chr6:26330985-27758425	16	16571940	18436361	+	6	26330985	27758425	+	2-1+	canFam3
28	hg38.chr16:18975430-19380787	canFam3.chr6:25848160-26145690	16	18975430	19380787	+	6	25848160	26145690	+	2+1+	canFam3
56	hg38.chr16:70080002-70584708	rn5.chr19:53850711-54270715	16	70080002	70584708	+	19	53850711	54270715	+	NA	rn5
56	hg38.chr16:70609698-73009728	rn5.chr19:51685133-53790773	16	70609698	73009728	+	19	51685133	53790773	+	2+1+	rn5
57	hg38.chr16:70609698-73009728	rn5.chr19:51685133-53790773	16	70609698	73009728	+	19	51685133	53790773	+	2+1+	rn5
57	hg38.chr16:73010063-73483451	rn5.chr19:51241502-51674154	16	73010063	73483451	+	19	51241502	51674154	+	2+1+	rn5
58	hg38.chr16:85040965-86132038	rn5.chr19:64432229-65151201	16	85040965	86132038	+	19	64432229	65151201	+	NA	rn5
58	hg38.chr16:86142186-87424066	rn5.chr19:63520215-64394403	16	86142186	87424066	+	19	63520215	64394403	+	2+1+	rn5
66	hg38.chr16:21560262-21757314	monDom5.chr6:61739600-61942197	16	21560262	21757314	+	6	61739600	61942197	+	NA	monDom5
66	hg38.chr16:21946844-22407478	monDom5.chr6:61168643-61735038	16	21946844	22407478	+	6	61168643	61735038	+	2+1+	monDom5
67	hg38.chr16:23824001-24826280	monDom5.chr6:143835236-145440742	16	23824001	24826280	+	6	143835236	145440742	+	NA	monDom5
67	hg38.chr16:24858637-25228742	monDom5.chr6:143277540-143693997	16	24858637	25228742	+	6	143277540	143693997	+	2+1+	monDom5
76	hg38.chr16:22499921-28363907	panTro6.chr16:23966997-29844149	16	22499921	28363907	+	16	23966997	29844149	+	NA	panTro6
76	hg38.chr16:29713564-30246262	panTro6.chr16:23003482-23538262	16	29713564	30246262	+	16	23003482	23538262	+	2+1+	panTro6
6	hg38.chr17:30731358-31000016	mm10.chr11:79992798-80199866	17	30731358	31000016	+	11	79992798	80199866	+	NA	mm10
6	hg38.chr17:31051534-32001213	mm10.chr11:79305714-80034277	17	31051534	32001213	+	11	79305714	80034277	+	2+1+	mm10
11	hg38.chr17:30730967-31005825	rheMac3.chr16:27905893-28245086	17	30730967	31005825	+	16	27905893	28245086	+	NA	rheMac3
11	hg38.chr17:31051203-32001252	rheMac3.chr16:26958959-27974982	17	31051203	32001252	+	16	26958959	27974982	+	2+1+	rheMac3
59	hg38.chr17:60578937-60790620	rn5.chr10:72782255-72913998	17	60578937	60790620	+	10	72782255	72913998	+	NA	rn5
59	hg38.chr17:60824068-61047969	rn5.chr10:72640446-72765550	17	60824068	61047969	+	10	72640446	72765550	+	2+1+	rn5
7	hg38.chr19:16066508-16890743	mm10.chr8:72129401-72763463	19	16066508	16890743	+	8	72129401	72763463	+	NA	mm10
7	hg38.chr19:17075220-17688469	mm10.chr8:71272109-71671848	19	17075220	17688469	+	8	71272109	71671848	+	2+1+	mm10
68	hg38.chr19:18068382-19153442	monDom5.chr3:450761685-452688837	19	18068382	19153442	+	3	450761685	452688837	+	NA	monDom5
68	hg38.chr19:19180592-19546141	monDom5.chr3:449328640-450069704	19	19180592	19546141	+	3	449328640	450069704	+	2+1+	monDom5
79	hg38.chr19:22562149-23094707	panTro6.chr19:24582462-25054109	19	22562149	23094707	+	19	24582462	25054109	+	NA	panTro6
79	hg38.chr19:23145809-24206536	panTro6.chr19:22875466-23952571	19	23145809	24206536	+	19	22875466	23952571	+	2+1+	panTro6
1	hg38.chr2:9214593-10144790	mm10.chr12:21117742-24718062	2	9214593	10144790	+	12	21117742	24718062	+	2-1+	mm10
1	hg38.chr2:10162882-10404519	mm10.chr12:17557436-17772828	2	10162882	10404519	+	12	17557436	17772828	+	2+1+	mm10
37	hg38.chr2:145054296-146083899	rn5.chr3:38979988-40243389	2	145054296	146083899	+	3	38979988	40243389	+	NA	rn5
37	hg38.chr2:146097006-148858690	rn5.chr3:35894718-38943013	2	146097006	148858690	+	3	35894718	38943013	+	2+1+	rn5
38	hg38.chr2:170929631-171132048	rn5.chr3:63753522-63891194	2	170929631	171132048	+	3	63753522	63891194	+	NA	rn5
38	hg38.chr2:171145749-171332990	rn5.chr3:63593923-63753438	2	171145749	171332990	+	3	63593923	63753438	+	2+1+	rn5
39	hg38.chr2:219722067-221131720	rn5.chr9:89079763-90475344	2	219722067	221131720	+	9	89079763	90475344	+	NA	rn5
39	hg38.chr2:221132415-228360489	rn5.chr9:82599017-89063941	2	221132415	228360489	+	9	82599017	89063941	+	2+1+	rn5
36	hg38.chr20:21516221-21709446	danRer10.chr17:42779459-42841961	20	21516221	21709446	+	17	42779459	42841961	+	NA	danRer10
36	hg38.chr20:22402351-22584879	danRer10.chr17:42230501-42293203	20	22402351	22584879	+	17	42230501	42293203	+	2+1+	danRer10
77	hg38.chr20:29314203-29469331	panTro6.chr20:28072154-28260291	20	29314203	29469331	+	20	28072154	28260291	+	NA	panTro6
77	hg38.chr20:29474410-29822764	panTro6.chr20:27643739-28143738	20	29474410	29822764	+	20	27643739	28143738	+	2+1+	panTro6
78	hg38.chr20:29474410-29822764	panTro6.chr20:27643739-28143738	20	29474410	29822764	+	20	27643739	28143738	+	2+1+	panTro6
78	hg38.chr20:30467985-30661541	panTro6.chr20:27173590-27367504	20	30467985	30661541	+	20	27173590	27367504	+	2+1+	panTro6
24	hg38.chr21:43337401-44167696	bosTau8.chr1:146138108-146882899	21	43337401	44167696	+	1	146138108	146882899	+	NA	bosTau8
24	hg38.chr21:44180263-44786138	bosTau8.chr1:145648081-146129217	21	44180263	44786138	+	1	145648081	146129217	+	2+1+	bosTau8
25	hg38.chr21:44180263-44786138	bosTau8.chr1:145648081-146129217	21	44180263	44786138	+	1	145648081	146129217	+	2+1+	bosTau8
25	hg38.chr21:44786244-45328343	bosTau8.chr1:145018447-145642262	21	44786244	45328343	+	1	145018447	145642262	+	2+1+	bosTau8
22	hg38.chr22:18913392-20282506	bosTau8.chr17:74439030-75135451	22	18913392	20282506	+	17	74439030	75135451	+	NA	bosTau8
22	hg38.chr22:20702060-21002816	bosTau8.chr17:74194544-74335940	22	20702060	21002816	+	17	74194544	74335940	+	2+1+	bosTau8
23	hg38.chr22:48993116-50199633	bosTau8.chr5:120295380-121189491	22	48993116	50199633	+	5	120295380	121189491	+	NA	bosTau8
23	hg38.chr22:50199747-50750139	bosTau8.chr5:119768077-120231917	22	50199747	50750139	+	5	119768077	120231917	+	2+1+	bosTau8
73	hg38.chr22:19375577-20281321	oviAri3.chr17:71837269-72285004	22	19375577	20281321	+	17	71837269	72285004	+	NA	oviAri3
73	hg38.chr22:20701981-21032210	oviAri3.chr17:71443185-71623763	22	20701981	21032210	+	17	71443185	71623763	+	2+1+	oviAri3
12	hg38.chr3:41915598-43605540	bosTau8.chr22:14976366-16142153	3	41915598	43605540	+	22	14976366	16142153	+	NA	bosTau8
12	hg38.chr3:43605540-44161991	bosTau8.chr22:14389309-14969621	3	43605540	44161991	+	22	14389309	14969621	+	2+1+	bosTau8
26	hg38.chr3:158778819-178996600	canFam3.chr34:25035539-42085721	3	158778819	178996600	+	34	25035539	42085721	+	NA	canFam3
26	hg38.chr3:179013917-193579656	canFam3.chr34:12524239-25034851	3	179013917	193579656	+	34	12524239	25034851	+	2+1+	canFam3
30	hg38.chr3:157918558-158537303	danRer10.chr15:2132673-2434164	3	157918558	158537303	+	15	2132673	2434164	+	NA	danRer10
30	hg38.chr3:160225751-160537104	danRer10.chr15:1527032-1652680	3	160225751	160537104	+	15	1527032	1652680	+	2+1+	danRer10
13	hg38.chr4:6691044-8371572	bosTau8.chr6:118009839-119457834	4	6691044	8371572	+	6	118009839	119457834	+	NA	bosTau8
13	hg38.chr4:9844633-17532394	bosTau8.chr6:109871022-117769009	4	9844633	17532394	+	6	109871022	117769009	+	2+1+	bosTau8
69	hg38.chr4:6640533-8796803	oviAri3.chr6:112533549-114384175	4	6640533	8796803	+	6	112533549	114384175	+	NA	oviAri3
69	hg38.chr4:9763200-17530513	oviAri3.chr6:104534146-112265719	4	9763200	17530513	+	6	104534146	112265719	+	2+1+	oviAri3
31	hg38.chr5:81068026-81268996	danRer10.chr5:50866131-50971044	5	81068026	81268996	+	5	50866131	50971044	+	rj_2+1+_2	danRer10
31	hg38.chr5:83490075-95603495	danRer10.chr5:45824269-50263721	5	83490075	95603495	+	5	45824269	50263721	+	2+1+	danRer10
