Chrom	Start	End	Chrom_org2	Start_org2	End_org2	Direction	Size_Human_mb	Size_org2_mb	Assembly	Breakpoint_start_human	Breakpoint_end_human	Breakpoint_size_human_kb	Breakpoint_start_org2	Breakpoint_end_org2	Breakpoint_size_org2_kb	Group
1	908205	15966028	12	39188862	52252377	-	15.06	13.06	oviAri3	12669216	13415987	746.77	49637067	49682176	45.11	Ovis aries
1	3068952	6460175	8	46650461	48559330	+	3.39	1.91	danRer10	3438617	6243621	2805	47098088	48106715	1008.63	Danio rerio
1	29344037	29737163	4	431625147	433162006	+	0.39	1.54	monDom5	29496951	29514780	17.83	432650810	432638365	0	Monodelphis domestica
1	38321277	41880045	5	142729966	146051142	-	3.56	3.32	rn5	41701012	41702802	1.79	145867552	145899851	32.3	Rattus norvegicus
1	68476125	70362330	2	283126187	284714888	-	1.89	1.59	rn5	68794329	68907062	112.73	283407464	283419824	12.36	Rattus norvegicus
1	74645862	77063208	2	36286	1588820	+	2.42	1.55	monDom5	75970959	76182702	211.74	852085	859344	7.26	Monodelphis domestica
1	120132162	146129638	1	121883423	122939846	+	26	1.06	panTro6	120347619	145592150	25244.53	122360815	122826473	465.66	Pan troglodytes
1	120844431	147941130	1	126499908	128679482	+	27.1	2.18	rheMac3	121123813	145517119	24393.31	128046485	128201155	154.67	Macaca mulatta
1	218947090	221790033	13	107039372	109322890	-	2.84	2.28	rn5	221213245	221213245	0	108884116	108892869	8.75	Rattus norvegicus
10	2644139	3010775	17	68566361	69012001	+	0.37	0.45	rn5	2840738	2845861	5.12	68774612	68796734	22.12	Rattus norvegicus
10	27719977	28624637	17	61827890	63036502	-	0.9	1.21	rn5	28256197	28278137	21.94	62357772	62658569	300.8	Rattus norvegicus
10	46265274	47421550	28	42007638	42957948	-	1.16	0.95	bosTau8	46686083	46870210	184.13	42478653	42531651	53	Bos taurus
10	46283657	47384348	14	33542208	34296813	+	1.1	0.75	mm10	46683940	46870209	186.27	33978829	34049879	71.05	Mus Musculus
10	46286512	47421536	4	34677258	35139254	-	1.14	0.46	canFam3	46686104	47126472	440.37	34917333	34932942	15.61	Canis lupus familiaris
10	46286512	47421538	25	41275645	42184224	-	1.14	0.91	oviAri3	46686083	46870210	184.13	41598854	41765760	166.91	Ovis aries
10	46302541	47368882	1	66583995	67816559	-	1.07	1.23	monDom5	46462713	46870699	407.99	66799879	66917933	118.05	Monodelphis domestica
10	64264468	65234905	25	20281786	21282459	-	0.97	1	oviAri3	64788470	64789829	1.36	20804580	20807906	3.33	Ovis aries
10	64348779	65234905	28	20491589	21505792	-	0.89	1.01	bosTau8	64788467	64789832	1.36	20948881	21053949	105.07	Bos taurus
10	127214796	132253630	1	163	4733026	+	5.04	4.73	monDom5	128997678	129956744	959.07	2841925	2896705	54.78	Monodelphis domestica
11	30269535	59751874	18	25785249	45167091	-	29.48	19.38	canFam3	44057894	44058285	0.39	37025366	37033722	8.36	Canis lupus familiaris
11	40440267	41125125	3	92454715	93098805	-	0.68	0.64	rn5	40721073	40745431	24.36	92735323	92750718	15.39	Rattus norvegicus
11	76191556	89698731	4	323359915	341751103	-	13.51	18.39	monDom5	87369659	87371337	1.68	338483688	338633816	150.13	Monodelphis domestica
11	77142706	78017293	18	2942485	3312681	+	0.87	0.37	danRer10	77392564	77619624	227.06	3035534	3109787	74.25	Danio rerio
11	94503321	107458766	15	1771553	17154984	-	12.96	15.38	bosTau8	106102307	106646312	544	16313583	16341754	28.17	Bos taurus
11	94503321	107458430	15	1104801	16296692	-	12.96	15.19	oviAri3	106103437	106659870	556.43	15528956	15548796	19.84	Ovis aries
12	7788431	9120813	8	104397643	105198972	-	1.33	0.8	monDom5	8098058	8579389	481.33	104633263	104680473	47.21	Monodelphis domestica
12	38651903	70954322	5	25453765	60305177	-	32.3	34.85	bosTau8	54859347	54941417	82.07	42698694	42803080	104.39	Bos taurus
12	38651903	70955011	3	131666685	164989431	-	32.3	33.32	oviAri3	54763988	54941434	177.45	148514897	148634122	119.22	Ovis aries
12	47542144	48628978	7	138735060	139682054	+	1.09	0.95	rn5	48009830	48010651	0.82	139251170	139264811	13.64	Rattus norvegicus
12	65545753	67898260	8	32149896	35374815	-	2.35	3.22	monDom5	66379458	66823944	444.49	33294089	34071744	777.66	Monodelphis domestica
12	87490238	89908118	7	40181179	42531304	-	2.42	2.35	rn5	88268023	88270531	2.51	40911520	40952858	41.34	Rattus norvegicus
13	65767160	83070252	7	122757206	147265666	+	17.3	24.51	monDom5	66620079	66631192	11.11	145927704	146185342	257.64	Monodelphis domestica
13	73663855	75921912	15	87760914	89972685	+	2.26	2.21	rn5	75609963	75619956	9.99	88062798	88066933	4.14	Rattus norvegicus
13	76900416	84071746	15	90901122	97234917	+	7.17	6.33	rn5	77133439	77133536	0.1	97005192	97046731	41.54	Rattus norvegicus
14	67614737	68149592	10	79832439	80293728	+	0.53	0.46	bosTau8	67889367	67889367	0	80066998	80072226	5.23	Bos taurus
14	79561316	82010690	6	122792559	125145047	+	2.45	2.35	rn5	81775124	81775190	0.07	123007549	123075278	67.73	Rattus norvegicus
15	21324053	23089310	15	7003729	7915837	+	1.77	0.91	panTro6	21608151	22597904	989.75	7471423	7630525	159.1	Pan troglodytes
15	22786529	28321491	7	53217203	58724133	-	5.53	5.51	monDom5	23039543	25327338	2287.8	53539785	53688822	149.04	Monodelphis domestica
15	22810452	28322410	7	55793903	62424391	-	5.51	6.63	mm10	23039846	23561414	521.57	55998940	56049948	51.01	Mus Musculus
15	22810729	28280380	6	37647888	38791738	-	5.47	1.14	danRer10	23039537	25338599	2299.06	37771487	37788989	17.5	Danio rerio
15	28860921	31464854	21	27910615	29293516	+	2.6	1.38	bosTau8	30075521	30899430	823.91	28265183	28476847	211.66	Bos taurus
15	28860958	31464203	18	26380368	27806364	+	2.6	1.43	oviAri3	30075521	30899430	823.91	26744596	26996309	251.71	Ovis aries
15	61863434	63983778	7	28917913	29689728	+	2.12	0.77	danRer10	63069963	63608574	538.61	29018752	29361643	342.89	Danio rerio
15	75796934	78710460	21	31024531	33604725	+	2.91	2.58	bosTau8	77906195	78121227	215.03	31615236	31601019	0	Bos taurus
15	75796939	78710460	18	29402447	32107819	+	2.91	2.71	oviAri3	77906195	77970358	64.16	30135078	30126447	0	Ovis aries
15	75799252	78710774	9	54528430	56894372	+	2.91	2.37	mm10	77906195	78087714	181.52	55111863	55106403	0	Mus Musculus
15	75799316	78710898	8	57686648	60130494	+	2.91	2.44	rn5	77906195	78087809	181.61	58262902	58258010	0	Rattus norvegicus
15	75833664	78637924	1	6086090	9755022	-	2.8	3.67	monDom5	77874846	77976014	101.17	8723041	8858480	135.44	Monodelphis domestica
15	81480549	83015387	21	23300928	24544033	+	1.53	1.24	bosTau8	82287834	82536244	248.41	23729416	23955027	225.61	Bos taurus
15	82385406	85170013	7	61471928	64089260	-	2.78	2.62	rheMac3	84389832	84649285	259.45	63528428	63559287	30.86	Macaca mulatta
